# name|cloneof|title|category|manufacturer|year|titleImg|snapImg
avspj|avsp|Alien vs. Predator (Japan 940520)|Fighter / 2.5D|Capcom|1994|avsp|avsp
avspu|avsp|Alien vs. Predator (USA 940520)|Fighter / 2.5D|Capcom|1994|avsp|avsp
aztarac||Aztarac|Shooter / Field|Centuri|1983|aztarac|aztarac
azurian||Azurian Attack|Shooter / Field|Rait Electronics Ltd|1982|azurian|azurian
backfire||Backfire! (set 1)|Unplayable|Data East Corporation|1995|backfire|backfire
baddudes||Bad Dudes vs. Dragonninja (US)|Platform / Fighter Scrolling|Data East USA|1988|baddudes|baddudes
badlands||Bad Lands|Driving / Race Track|Atari Games|1989|badlands|badlands
bagman||Bagman|Platform / Run Jump|Valadon Automation|1982|bagman|bagman
bagmanmc|bagman|Bagman (bootleg on Moon Cresta hardware)|Platform / Run Jump|bootleg|1982|bagman|bagman
bagmans|bagman|Bagman (Stern Electronics, set 1)|Platform / Run Jump|Valadon Automation (Stern Electronics license)|1982|bagman|bagman
bagmans2|bagman|Bagman (Stern Electronics, set 2)|Platform / Run Jump|Valadon Automation (Stern Electronics license)|1982|bagman|bagman
bagnard|bagman|Le Bagnard (set 1)|Platform / Run Jump|Valadon Automation|1982|bagman|bagman
bagnarda|bagman|Le Bagnard (set 2)|Platform / Run Jump|Valadon Automation|1982|bagman|bagman
bakatono||Bakatonosama Mahjong Manyuuki (MOM-002)(MOH-002)|Tabletop / Mahjong|Monolith Corp.|1991|bakatono|bakatono
bakubaku||Baku Baku Animal (J 950407 V1.000)|Puzzle / Drop|Sega|1995|bakubaku|bakubaku
bakubrkr|explbrkr|Bakuretsu Breaker|Shooter / Flying Vertical|Kaneko|1992|bakubrkr|bakubrkr
bakuhatu|mjgottsu|Mahjong Bakuhatsu Junjouden (Japan)|Tabletop / Mahjong|Nichibutsu|1991|mjgottsu|mjgottsu
bakutotu||Bakutotsu Kijuutei|Shooter / Flying Horizontal|Namco|1988|bakutotu|bakutotu
balcube||Bal Cube|Breakout|Metro|1996|balcube|balcube
ballbomb||Balloon Bomber|Shooter / Gallery|Taito|1980|ballbomb|ballbomb
ballbros||Balloon Brothers|Puzzle / Drop|East Technology|1992|ballbros|ballbros
balonfgt||Vs. Balloon Fight (set BF4 A-3)|Platform / Run Jump|Nintendo|1984|balonfgt|balonfgt
baluba||Baluba-louk no Densetsu (Japan)|Platform / Run Jump|Able Corp, Ltd.|1986|baluba|baluba
bananadr||Mahjong Banana Dream [BET] (Japan 891124)|Tabletop / Mahjong|Digital Soft|1989|bananadr|bananadr
bandido|sheriff|Bandido|Shooter / Field|Nintendo (Exidy license)|1980|sheriff|sheriff
bang||Bang!|Shooter / Gun|Gaelco|1998|bang|bang
bangball||Bang Bang Ball (v1.05)|Puzzle / Toss|Banpresto / Kunihiko Tashiro+Goodhouse|1996|bangball|bangball
bangbead||Bang Bead|Sports|Visco|2000|bangbead|bangbead
bangj|bang|Gun Gabacho (Japan)|Shooter / Gun|Gaelco|1998|bang|bang
bankp||Bank Panic|Shooter / Gallery|Sanritsu / Sega|1984|bankp|bankp
aliensec||Alien Sector||Namco|1985||
baraduke|aliensec|Baraduke|Maze / Shooter Large|Namco|1985|baraduke|baraduke
barricad||Barricade|Maze / Surround|RamTek|1976|barricad|barricad
barrier||Barrier|Puzzle|Vectorbeam|1979|barrier|barrier
basebal2||Baseball: The Season II|Sports / Baseball|Cinematronics|1987|basebal2|basebal2
bass||Sega Bass Fishing|Unplayable|Sega|1997||
batcir||Battle Circuit (Euro 970319)|Fighter / 2.5D|Capcom|1997|batcir|batcir
batcira|batcir|Battle Circuit (Asia 970319)|Fighter / 2.5D|Capcom|1997|batcir|batcir
batcirj|batcir|Battle Circuit (Japan 970319)|Fighter / 2.5D|Capcom|1997|batcir|batcir
batlball|senkyu|Battle Balls (Germany)|Puzzle / Drop|Seibu Kaihatsu (Tuning license)|1995|senkyu|senkyu
batlbubl|bangball|Battle Bubble (v2.00)||Banpresto (Limenko license?)|1999|bangball|bangball
batman||Batman|Platform / Fighter Scrolling|Atari Games|1991|batman|batman
batman2|phoenix|Batman Part 2|Shooter / Gallery|bootleg|1981|phoenix|phoenix
batmanfr||Batman Forever (JUE 960507 V1.000)|Fighter / 3D|Acclaim|1996|batmanfr|batmanfr
batrider||Armed Police Batrider (Europe) (Fri Feb 13 1998)|Shooter / Flying Vertical|Raizing / Eighting|1998|batrider|batrider
batsugun||Batsugun|Shooter / Flying Vertical|Toaplan|1993|batsugun|batsugun
battlane||Battle Lane! Vol. 5 (set 1)|Shooter / Driving Vertical|Technos Japan (Taito license)|1986|battlane|battlane
battlcry||Battlecry|Fighter / 2D|Home Data|1991|battlcry|battlcry
battlera||Battle Rangers (World)|Shooter / Walking|Data East Corporation|1988|battlera|battlera
battles|xevious|Battles|Shooter / Flying Vertical|bootleg|1982|xevious|xevious
battlex||Battle Cross|Shooter / Flying|Omori Electric Co., Ltd.|1982|battlex|battlex
battlnts||Battlantis (program code G)|Shooter / Gallery|Konami|1987|battlnts|battlnts
battroad||The Battle-Road|Shooter / Driving Vertical|Irem|1984|battroad|battroad
bayroute||Bay Route (set 3, World, FD1094 317-0116)|Platform / Shooter Scrolling|Sunsoft / Sega|1989|bayroute|bayroute
bbakraid||Battle Bakraid - Unlimited Version (USA) (Tue Jun 8 1999)|Shooter / Flying Vertical|Eighting|1999|bbakraid|bbakraid
bballs||Bouncing Balls|Puzzle / Drop|Comad|1991|bballs|bballs
bbbxing||Best Bout Boxing|Sports / Boxing|Jaleco|1994|bbbxing|bbbxing
bbmanw||Bomber Man World / New Dyna Blaster - Global Quest|Maze|Irem|1992|bbmanw|bbmanw
bbmanwj|bbmanw|Bomber Man World (Japan)|Maze|Irem|1992|bbmanw|bbmanw
bbonk||Bigfoot Bonkers|Maze / Surround|Meadows Games, Inc.|1976|bbonk|bbonk
bbprot||unknown fighting game 'BB' (prototype)|Fighter / Versus||1969|bbprot|bbprot
bbros|pang|Buster Bros. (US)|Shooter / Gallery|Mitchell (Capcom license)|1989|pang|pang
bbusters||Beast Busters (World)|Shooter / Gun|SNK|1989|bbusters|bbusters
bchopper||Battle Chopper|Shooter / Flying|Irem|1987|bchopper|bchopper
bcrusher|kncljoe|Bone Crusher|Platform / Fighter|bootleg|1985|kncljoe|kncljoe
bcruzm12||Battle Cruiser M-12|Shooter / Gallery|Sigma Enterprises Inc.|1983|bcruzm12|bcruzm12
bcstry||B.C. Story (set 1)|Mini-Games|SemiCom|1997|bcstry|bcstry
bcstrya|bcstry|B.C. Story (set 2)|Mini-Games|SemiCom|1997|bcstry|bcstry
beaminv||Beam Invader|Shooter / Gallery|Tekunon Kougyou|1979|beaminv|beaminv
beastf|suprglob|Beastie Feastie|Platform / Run Jump|Epos Corporation|1984|suprglob|suprglob
beastrzb||Beastorizer (USA bootleg)|Fighter / Versus|bootleg|1997|beastrzb|beastrzb
beastrzr||Beastorizer (USA)|Fighter / Versus|Eighting / Raizing|1997|beastrzr|beastrzr
beathead||BeatHead (prototype)|Misc.|Atari Games|1993|beathead|beathead
beezer||Beezer (set 1)|Maze|Tong Electronic|1982|beezer|beezer
beezer1|beezer|Beezer (set 2)|Maze|Tong Electronic|1982|beezer|beezer
bel||Behind Enemy Lines|Unplayable|Sega / EPL Productions|1998||
benberob||Ben Bero Beh (Japan)|Platform / Shooter|Taito|1984|benberob|benberob
berabohm||Beraboh Man (Japan version C)|Platform / Fighter Scrolling|Namco|1988|berabohm|berabohm
berlwall||The Berlin Wall|Platform / Run Jump|Kaneko|1991|berlwall|berlwall
bermudat||Bermuda Triangle (World?)|Shooter / Flying Vertical|SNK|1987|bermudat|bermudat
berzerk||Berzerk (set 1)|Maze / Shooter Small|Stern Electronics|1980|berzerk|berzerk
berzerk1|berzerk|Berzerk (set 2)|Maze / Shooter Small|Stern Electronics|1980|berzerk|berzerk
bestleag|bigstrik|Best League (bootleg of Big Striker, Italian Serie A)|Sports / Soccer|bootleg|1993|bigstrik|bigstrik
bigbang|tdragon2|Big Bang (9th Nov. 1993)|Shooter / Flying Vertical|NMK|1993|tdragon2|tdragon2
bigbucks||Big Bucks|Quiz / English|Dynasoft Inc.|1986|bigbucks|bigbucks
bigdeal||Big Deal (Hungarian, set 1)||Funworld|1986||
bigdealb|bigdeal|Big Deal (Hungarian, set 2)||Funworld|1986||
bigevglf||Big Event Golf (US)|Sports / Golf|Taito America Corporation|1986|bigevglf|bigevglf
skyrobo||Sky Robo||Nichibutsu|1989||
bigfghtr|skyrobo|Tatakae! Big Fighter (Japan)|Unplayable|Nichibutsu|1989||bigfghtr
bigkarnk||Big Karnak|Platform / Fighter Scrolling|Gaelco|1991|bigkarnk|bigkarnk
bigkong|ckong|Big Kong|Platform / Run Jump|bootleg|1981|ckong|ckong
bigprowr||The Big Pro Wrestling!|Wrestling|Technos Japan|1983|bigprowr|bigprowr
bigrun||Big Run (11th Rallye version)|Driving / Race (chase view)|Jaleco|1989|bigrun|bigrun
bigstrik||Big Striker|Sports / Soccer|Jaleco|1992|bigstrik|bigstrik
bigstrkb|bigstrik|Big Striker (bootleg)|Sports / Soccer|bootleg|1992|bigstrik|bigstrik
bigtwin||Big Twin|Puzzle / Drop|Playmark|1995|bigtwin|bigtwin
bijokkog||Bijokko Gakuen (Japan 880116)|Tabletop / Mahjong|Nichibutsu|1988|bijokkog|bijokkog
bijokkoy||Bijokko Yume Monogatari (Japan 870925)|Tabletop / Mahjong|Nichibutsu|1987|bijokkoy|bijokkoy
billiard|hustler|The Billiards (Video Hustler bootleg)|Sports / Pool|bootleg|1981|hustler|hustler
bioatack||Bio Attack|Shooter / Flying Vertical|Taito Corporation (Fox Video Games license)|1983|bioatack|bioatack
biofreak||BioFreaks (prototype)|Fighter / Versus|Midway Games|1997|biofreak|biofreak
biomtoy||Biomechanical Toy (Ver. 1.0.1885)|Platform / Shooter Scrolling|Gaelco|1995|biomtoy|biomtoy
bionicc||Bionic Commando (Euro)|Platform / Shooter Scrolling|Capcom|1987|bionicc|bionicc
bionicc2|bionicc|Bionic Commando (US set 2)|Platform / Shooter Scrolling|Capcom|1987|bionicc|bionicc
bioship||Bio-ship Paladin|Shooter / Flying Horizontal|UPL (American Sammy license)|1990|bioship|bioship
birdtry||Birdie Try (Japan)|Sports / Golf|Data East Corporation|1988|birdtry|birdtry
bishi||Bishi Bashi Championship Mini Game Senshuken (ver JAA, 3 Players)|Mini-Games|Konami|1996|bishi|bishi
bjourney||Blue's Journey / Raguy (ALM-001)(ALH-001)|Platform / Fighter Scrolling|Alpha Denshi Co.|1990|bjourney|bjourney
bjtwin||Bombjack Twin (set 1)|Platform / Run Jump|NMK|1993|bjtwin|bjtwin
bking||Birdie King|Sports / Golf|Taito Corporation|1982|bking|bking
bking2||Birdie King 2|Sports / Golf|Taito Corporation|1983|bking2|bking2
bking3||Birdie King 3|Sports / Golf|Taito Corporation|1984|bking3|bking3
bkrtmaq||Bakuretsu Quiz Ma-Q Dai Bouken (Japan)|Quiz / Japanese|Namco|1992|bkrtmaq|bkrtmaq
bladestl||Blades of Steel (version T)|Sports / Hockey|Konami|1987|bladestl|bladestl
blandia||Blandia|Fighter / Versus|Allumer|1992|blandia|blandia
blandiap|blandia|Blandia (prototype)|Fighter / Versus|Allumer|1992|blandia|blandia
blasted||Blasted|Shooter / 3rd Person|Bally Midway|1988|blasted|blasted
blaster||Blaster|Shooter / Flying (chase view)|Williams / Vid Kidz|1983|blaster|blaster
blasto||Blasto|Maze / Shooter Small|Gremlin|1978|blasto|blasto
blastoff||Blast Off (Japan)|Shooter / Flying Vertical|Namco|1989|blastoff|blastoff
blazeon||Blaze On (Japan)|Shooter / Flying Horizontal|Atlus|1992|blazeon|blazeon
blazer||Blazer (Japan)|Shooter / Driving Diagonal|Namco|1987|blazer|blazer
blazstar||Blazing Star|Shooter / Flying Horizontal|Yumekobo|1998|blazstar|blazstar
bldwolf|battlera|Bloody Wolf (US)|Shooter / Walking|Data East USA|1988|battlera|battlera
bldyror2||Bloody Roar 2 (World)|Fighter / Versus|Eighting / Raizing|1998|bldyror2|bldyror2
blitz||NFL Blitz (boot ROM 1.2)|Sports / Football Amer.|Midway Games|1997|blitz|blitz
blitz11|blitz|NFL Blitz (boot ROM 1.1)||Midway Games|1997|blitz|blitz
blitz2k||NFL Blitz 2000 Gold Edition|Sports / Football Amer.|Midway Games|1999|blitz2k|blitz2k
blitz99||NFL Blitz '99|Sports / Football Amer.|Midway Games|1998|blitz99|blitz99
blkbustr|mrjong|BlockBuster|Puzzle / Maze|Kiwako (ECI license)|1983|mrjong|mrjong
blkdrgon|blktiger|Black Dragon (Japan)|Platform / Fighter Scrolling|Capcom|1987|blktiger|blktiger
blkheart||Black Heart|Shooter / Flying Horizontal|UPL|1991|blkheart|blkheart
blkhole||Black Hole|Shooter / Gallery|TDS & MINTS|1981|blkhole|blkhole
blkpnthr||Black Panther|Platform / Fighter Scrolling|Konami|1987|blkpnthr|blkpnthr
blktiger||Black Tiger|Platform / Fighter Scrolling|Capcom|1987|blktiger|blktiger
blmbycar||Blomby Car|Driving / Race|ABM & Gecas|1994|blmbycar|blmbycar
block||Block Block (World 910910)|Breakout|Capcom|1991|block|block
blockade||Blockade|Maze / Surround|Gremlin|1976|blockade|blockade
blockbl|block|Block Block (bootleg)|Breakout|bootleg|1991|block|block
blockcar||Block Carnival / Thunder & Lightning 2|Breakout|Visco|1992|blockcar|blockcar
blocken||Blocken (Japan)|Breakout|KID / Visco|1994|blocken|blocken
blockgal||Block Gal (MC-8123B, 317-0029)|Breakout|Sega / Vic Tokai|1987|blockgal|blockgal
blockhl||Block Hole|Puzzle|Konami|1989|blockhl|blockhl
blockj|block|Block Block (Japan 910910)|Breakout|Capcom|1991|block|block
blockjoy|block|Block Block (World 911106 Joystick)||Capcom|1991|block|block
blockout||Block Out (set 1)|Puzzle / Drop|Technos Japan / California Dreams|1989|blockout|blockout
bloodbro||Blood Bros. (set 1)|Shooter / 3rd Person|TAD Corporation|1990|bloodbro|bloodbro
bloodstm||Blood Storm (v2.22)|Fighter / Versus|Strata/Incredible Technologies|1994|bloodstm|bloodstm
bloodwar||Blood Warrior|Fighter / Versus|Kaneko|1994|bloodwar|bloodwar
bloxeed||Bloxeed (Japan, FD1094 317-0139)|Puzzle / Drop|Sega|1989|bloxeed|bloxeed
bloxeedc|bloxeed|Bloxeed (World, C System)|Puzzle / Drop|Sega / Elorg|1989|bloxeed|bloxeed
bloxeedu|bloxeed|Bloxeed (US, C System)|Puzzle / Drop|Sega / Elorg|1989|bloxeed|bloxeed
blstroid||Blasteroids (rev 4)|Shooter / Field|Atari Games|1987|blstroid|blstroid
blswhstl||Bells & Whistles (Version L)|Shooter / Flying Vertical|Konami|1991|blswhstl|blswhstl
bluehawk||Blue Hawk|Shooter / Flying Vertical|Dooyong|1993|bluehawk|bluehawk
blueprnt||Blue Print (Midway)|Maze|Zilec Electronics / Bally Midway|1982|blueprnt|blueprnt
blueshrk||Blue Shark|Shooter / Gallery|Midway|1978|blueshrk|blueshrk
blzntrnd||Blazing Tornado|Wrestling|Human Amusement|1994|blzntrnd|blzntrnd
bm1stmix||beatmania (ver JA-B)|Rhythm|Konami|1997|bm1stmix|bm1stmix
bm2ndmix||beatmania 2nd MIX (ver JA-B)|Rhythm|Konami|1998|bm2ndmix|bm2ndmix
bm2ndmxa|bm2ndmix|beatmania 2nd MIX (ver JA-A)|Rhythm|Konami|1998|bm2ndmix|bm2ndmix
bm4thmix||beatmania 4th MIX (ver JA-A)|Rhythm|Konami|1999|bm4thmix|bm4thmix
bm5thmix||beatmania 5th MIX (ver JA-A)|Rhythm|Konami|1999|bm5thmix|bm5thmix
bm6thmix||beatmania 6th MIX (ver JA-A)|Rhythm|Konami|2001|bm6thmix|bm6thmix
bmaster||Blade Master (World)|Fighter / 2.5D|Irem|1991|bmaster|bmaster
bmcbowl||Konkyuu no Hoshi|Sports / Bowling|BMC|1994|bmcbowl|bmcbowl
bmcompm2||beatmania complete MIX 2 (ver JA-A)|Rhythm|Konami|2000||
bmcompmx||beatmania complete MIX (ver JA-B)|Rhythm|Konami|1999|bmcompmx|bmcompmx
bmcorerm||beatmania CORE REMIX (ver JA-A)|Rhythm|Konami|2000|bmcorerm|bmcorerm
bmdct||beatmania featuring Dreams Come True (ver JA-A)|Rhythm|Konami|2000|bmdct|bmdct
bnglngby||Vs. Raid on Bungeling Bay (RD4-2 B)|Shooter / Flying|Nintendo / Broderbund Software Inc.|1985|bnglngby|bnglngby
bnj|brubber|Bump 'n' Jump|Driving|Data East USA (Bally Midway license)|1982|brubber|brubber
bnzabros||Bonanza Bros (US, Floppy DS3-5000-07d? Based)|Platform / Shooter|Sega|1990|bnzabros|bnzabros
boblbobl|bublbobl|Bobble Bobble|Platform / Run Jump|bootleg|1986|bublbobl|bublbobl
bodyslam||Body Slam (8751 317-0015)|Wrestling|Sega|1986|bodyslam|bodyslam
bogeyman||Bogey Manor|Platform / Fighter|Technos Japan|1985|bogeyman|bogeyman
boggy84||Boggy '84|Platform / Run Jump|Kaneko|1983|boggy84|boggy84
bombbee||Bomb Bee|Breakout|Namco|1979|bombbee|bombbee
bombjack||Bomb Jack (set 1)|Platform / Run Jump|Tehkan|1984|bombjack|bombjack
bombkick||Bomb Kick||Yun Sung|1998||
bomblord|bbmanw|Bomber Lord (bootleg)|Unplayable|bootleg|1992|bbmanw|bbmanw
bombrman|dynablst|Bomber Man (Japan)|Maze|Irem (licensed from Hudson Soft)|1991|dynablst|dynablst
bongo||Bongo|Platform / Run Jump Scrolling|Jetsoft|1983|bongo|bongo
bonkadv||B.C. Kid / Bonk's Adventure / Kyukyoku!! PC Genjin|Platform / Run Jump Scrolling|Kaneko|1994|bonkadv|bonkadv
bonzeadv||Bonze Adventure (World, Newer)|Platform / Shooter Scrolling|Taito Corporation Japan|1988|bonzeadv|bonzeadv
boogwing||Boogie Wings (Euro v1.5, 92.12.07)|Unplayable|Data East Corporation|1992|boogwing|boogwing
boomrang||Boomer Rang'r / Genesis (set 1)|Shooter / Walking|Data East Corporation|1983|boomrang|boomrang
combatsc||Combat School (joystick)||Konami|1988||
bootcamp|combatsc|Boot Camp|Sports / Track & Field|Konami|1987||
boothill||Boot Hill|Shooter / Versus|Midway|1977|boothill|boothill
borench||Borench|Maze|Sega|1990|borench|borench
borntofi||Born To Fight|Unplayable|International Games|1969||
bosco||Bosconian (new version)|Shooter / Field|Namco|1981|bosco|bosco
boscomd|bosco|Bosconian (Midway, new version)|Shooter / Field|Namco (Midway license)|1981|bosco|bosco
boscomdo|bosco|Bosconian (Midway, old version)|Shooter / Field|Namco (Midway license)|1981|bosco|bosco
boscoo|bosco|Bosconian (old version)|Shooter / Field|Namco|1981|bosco|bosco
boscoo2|bosco|Bosconian (older version)|Shooter / Field|Namco|1981|bosco|bosco
botanic||Botanic|Maze|Valadon Automation (Itisa license)|1984|botanic|botanic
botss||Battle of the Solar System (rev. 1.1a 7/23/92)|Unplayable|Microprose Games Inc.|1992|botss|botss
bottom9||Bottom of the Ninth (version T)|Sports / Baseball|Konami|1989|bottom9|bottom9
bottom9n|bottom9|Bottom of the Ninth (version N)|Sports / Baseball|Konami|1989|bottom9|bottom9
bouldash||Boulder Dash / Boulder Dash Part 2 (World)|Maze / Digging|Data East Corporation (licensed from First Star)|1990|bouldash|bouldash
bounty||The Bounty|Driving / Boat|Orca|1982|bounty|bounty
bowler||Bowling Alley|Sports / Bowling|Midway|1978|bowler|bowler
bowlrama||Bowl-O-Rama|Sports / Bowling|P&P Marketing|1991|bowlrama|bowlrama
boxer||Boxer (prototype)|Fighter / Versus|Atari|1978|boxer|boxer
boxingb||Boxing Bugs|Shooter / Field|Cinematronics|1981|boxingb|boxingb
boxyboy||Boxy Boy (US)|Puzzle|Namco|1990|boxyboy|boxyboy
bradley||Bradley Trainer|Shooter / 1st Person|Atari|1980|bradley|bradley
brain||Brain|Shooter / Flying Horizontal|Coreland / Sega|1986|brain|brain
brapboys||B.Rap Boys (World)|Unplayable|Kaneko|1992|brapboys|brapboys
brdrlinb|brdrline|Borderline (Karateco bootleg)|Maze / Shooter Small|bootleg (Karateco)|1981|brdrlinb|brdrlinb
brdrline||Borderline||Sega|1981||
breakers||Breakers|Fighter / Versus|Visco|1996|breakers|breakers
breakrev||Breakers Revenge|Fighter / Versus|Visco|1998||
breywood|shackled|Breywood (Japan revision 2)|Maze / Shooter Large|Data East Corporation|1986|shackled|shackled
brickyrd|barricad|Brickyard|Maze / Surround|RamTek|1976|barricad|barricad
brickzn||Brick Zone (v5.0, Joystick)|Breakout|SunA|1992|brickzn|brickzn
brival||Burning Rival (World)|Fighter / Versus|Sega|1992|brival|brival
brivalj|brival|Burning Rival (Japan)||Sega|1992|brival|brival
brix|zzyzzyxx|Brix|Maze|Cinematronics / Advanced Microcomputer Systems|1982|zzyzzyxx|zzyzzyxx
brkthru||Break Thru (US)|Shooter / Driving Horizontal|Data East USA|1986|brkthru|brkthru
brkthruj|brkthru|Kyohkoh-Toppa (Japan)|Shooter / Driving Horizontal|Data East Corporation|1986|brkthru|brkthru
bronx|cyclshtg|Bronx|Shooter / Gun|bootleg|1986|cyclshtg|cyclshtg
brubber||Burnin' Rubber|Driving|Data East|1982|brubber|brubber
brutforc||Brute Force|Fighter / Field|Leland Corp.|1991|brutforc|brutforc
brvblade||Brave Blade (World)|Shooter / Flying Vertical|Eighting / Raizing|2000|brvblade|brvblade
bshark||Battle Shark (World)|Shooter / 1st Person|Taito Corporation Japan|1989|bshark|bshark
bsharkj|bshark|Battle Shark (Japan)|Shooter / 1st Person|Taito Corporation|1989|bshark|bshark
bsktball||Basketball|Sports / Basketball|Atari|1979|bsktball|bsktball
bssoccer||Back Street Soccer|Sports / Soccer|SunA|1996|bssoccer|bssoccer
bstars||Baseball Stars Professional (NGM-002)|Sports / Baseball|SNK|1990|bstars|bstars
bstars2||Baseball Stars 2|Sports / Baseball|SNK|1992|bstars2|bstars2
btchamp||Beat the Champ (GV053 UAA01)|Unplayable|Konami|1996||
btime||Burger Time (Data East set 1)|Platform / Run Jump|Data East Corporation|1982|btime|btime
btime2|btime|Burger Time (Data East set 2)|Platform / Run Jump|Data East Corporation|1982|btime|btime
btimem|btime|Burger Time (Midway)|Platform / Run Jump|Data East (Bally Midway license)|1982|btime|btime
btlecity||Vs. Battle City|Maze / Shooter Small|Namco|1985|btlecity|btlecity
btlfield|timesold|Battle Field (Japan)|Shooter / Walking|Alpha Denshi Co. (SNK license)|1987|timesold|timesold
btlkroad||Battle K-Road|Fighter / Versus|Psikyo|1994|btlkroad|btlkroad
btltryst||Battle Tryst (ver JAC)||Konami|1998||
btoads||Battle Toads|Fighter / 2.5D|Rare|1994|btoads|btoads
bubblem||Bubble Memories: The Story Of Bubble Bobble III (Ver 2.4O 1996/02/15)|Platform / Run Jump|Taito Corporation Japan|1995|bubblem|bubblem
bubblemj|bubblem|Bubble Memories: The Story Of Bubble Bobble III (Ver 2.3J 1996/02/07)|Platform / Run Jump|Taito Corporation|1995|bubblem|bubblem
bubbles||Bubbles|Misc.|Williams|1982|bubbles|bubbles
bubblesp|bubbles|Bubbles (prototype version)|Misc.|Williams|1982|bubbles|bubbles
bubblesr|bubbles|Bubbles (Solid Red label)|Misc.|Williams|1982|bubbles|bubbles
bubbletr||Bubble Trouble (Japan)||Namco|1992||
bubl2000||Bubble 2000|Puzzle / Toss|Tuning|1998|bubl2000|bubl2000
bublbob2||Bubble Bobble II (Ver 2.5O 1994/10/05)|Platform / Run Jump|Taito Corporation Japan|1994|bublbob2|bublbob2
